"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 1
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 1
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 1
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 1
"5758" "oRG46_oRG47" 0 0 0.111083861428841 1
"5758" "oRG46_oRG47" 1 0.598235419896235 0.0362370927332767 1
"5758" "oRG46_oRG47" 2 0.823917030221236 0.016508299529112 1
"5758" "oRG46_oRG47" 4 0.860934161167368 0.0169371271582288 1
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 2
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 2
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 2
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 2
"5415" "oRG46_oRG47" 0 0 0.133443231345338 2
"5415" "oRG46_oRG47" 1 0.40760233856021 0.0859905308247493 2
"5415" "oRG46_oRG47" 2 0.739032284937298 0.0353006785571693 2
"5415" "oRG46_oRG47" 4 0.812128938794774 0.0265273040655575 2
"5415" "oRG46_oRG47" 0 0 0.211840558518884 3
"5415" "oRG46_oRG47" 1 0.615518159185695 0.0700060654970399 3
"5415" "oRG46_oRG47" 2 0.839864288924606 0.0254470484605004 3
"5415" "oRG46_oRG47" 4 0.876774910494061 0.0328080956514219 3
"5758" "oRG46_oRG47" 0 0 0.0976196854347063 5
"5758" "oRG46_oRG47" 1 0.596936998355142 0.041559174657876 5
"5758" "oRG46_oRG47" 2 0.766117600054622 0.028934693599729 5
"5758" "oRG46_oRG47" 4 0.822819556942614 0.0157847885754772 5
"5758" "oRG46_oRG47" 0 0 0.234274981461749 6
"5758" "oRG46_oRG47" 1 0.571556996854631 0.0957556894208855 6
"5758" "oRG46_oRG47" 2 0.790847540316739 0.0429346516931509 6
"5758" "oRG46_oRG47" 4 0.814114835402725 0.033081149144344 6
"4518-13B" "oRG46_oRG47" 0 0 0.27552973344568 9
"4518-13B" "oRG46_oRG47" 1 0.955475214102687 0.00884172744020235 9
"4518-13B" "oRG46_oRG47" 2 0.960485202300532 0.00853217904793065 9
"4518-13B" "oRG46_oRG47" 4 0.946329833692149 0.0109537338121022 9
"5415" "oRG46_oRG47" 0 0 0.119937199399585 9
"5415" "oRG46_oRG47" 1 0.60777128979661 0.0424909003792591 9
"5415" "oRG46_oRG47" 2 0.8451144944783 0.0152031265018655 9
"5415" "oRG46_oRG47" 4 0.88826708046945 0.0100157138159254 9
"4518-13B" "oRG46_oRG47" 0 0 0.531459795935959 11
"4518-13B" "oRG46_oRG47" 1 0.906735443492476 0.0374722631387923 11
"4518-13B" "oRG46_oRG47" 2 0.921091057628051 0.0316290747425064 11
"4518-13B" "oRG46_oRG47" 4 0.910804488276682 0.0346708129078576 11
"5415" "oRG46_oRG47" 0 0 0.117315865347204 11
"5415" "oRG46_oRG47" 1 0.502078891870423 0.0684061883902653 11
"5415" "oRG46_oRG47" 2 0.806749784028301 0.022855166877412 11
"5415" "oRG46_oRG47" 4 0.857515247245831 0.0162752207100387 11
"4518-13B" "oRG46_oRG47" 0 0 0.220405554217718 12
"4518-13B" "oRG46_oRG47" 1 0.920922647678431 0.0136993058800947 12
"4518-13B" "oRG46_oRG47" 2 0.927061485393256 0.0125826198040088 12
"4518-13B" "oRG46_oRG47" 4 0.926715458042049 0.0117620081104337 12
"5415" "oRG46_oRG47" 0 0 0.167013700777374 12
"5415" "oRG46_oRG47" 1 0.466367356908457 0.069812697552457 12
"5415" "oRG46_oRG47" 2 0.732103205411885 0.0394473746849772 12
"5415" "oRG46_oRG47" 4 0.825726090312897 0.0235515447034371 12
"4518-13B" "oRG46_oRG47" 0 0 0.149325232158407 13
"4518-13B" "oRG46_oRG47" 1 0.870638870886662 0.0176035509566474 13
"4518-13B" "oRG46_oRG47" 2 0.871895485842598 0.0152593609726541 13
"4518-13B" "oRG46_oRG47" 4 0.877819692299566 0.0150786199591858 13
"5415" "oRG46_oRG47" 0 0 0.138845358240999 13
"5415" "oRG46_oRG47" 1 0.481785473167132 0.0671374524649531 13
"5415" "oRG46_oRG47" 2 0.706908636257992 0.0326450503368492 13
"5415" "oRG46_oRG47" 4 0.784006569528262 0.0258076912877361 13
"4518-13B" "oRG46_oRG47" 0 0 0.213695443943031 14
"4518-13B" "oRG46_oRG47" 1 0.867634633205951 0.0383897102550023 14
"4518-13B" "oRG46_oRG47" 2 0.872461151831451 0.0202924568747055 14
"4518-13B" "oRG46_oRG47" 4 0.88610690505271 0.0232439360399473 14
"5415" "oRG46_oRG47" 0 0 0.271762162890036 14
"5415" "oRG46_oRG47" 1 0.50563965416733 0.137756228224802 14
"5415" "oRG46_oRG47" 2 0.778606555647113 0.0458550410276852 14
"5415" "oRG46_oRG47" 4 0.821136206189022 0.0385988515229372 14
"5415" "oRG46_oRG47" 0 0 0.275785808592546 15
"5415" "oRG46_oRG47" 1 0.597933941238213 0.0913853351288067 15
"5415" "oRG46_oRG47" 2 0.780387795078543 0.047450800140165 15
"5415" "oRG46_oRG47" 4 0.834171688796218 0.0369801199690679 15
"5415" "oRG46_oRG47" 0 0 0.153853469076635 16
"5415" "oRG46_oRG47" 1 0.502935870847118 0.0621778024484783 16
"5415" "oRG46_oRG47" 2 0.656553840581545 0.0552945799033025 16
"5415" "oRG46_oRG47" 4 0.771643074658841 0.0468314109520914 16
"5415" "oRG46_oRG47" 0 0 0.179310625583599 17
"5415" "oRG46_oRG47" 1 0.540250883911402 0.0753114863961534 17
"5415" "oRG46_oRG47" 2 0.687119210346891 0.0536450919672184 17
"5415" "oRG46_oRG47" 4 0.764413722927973 0.0404988326396427 17
"4518-13B" "oRG46_oRG47" 0 0 0.209916698045552 18
"4518-13B" "oRG46_oRG47" 1 0.821863463531021 0.037159037270946 18
"4518-13B" "oRG46_oRG47" 2 0.817696952269574 0.0303509897111352 18
"4518-13B" "oRG46_oRG47" 4 0.858944574607386 0.0217595229564066 18
"4994-89A" "oRG46_oRG47" 0 0 0.174236542492904 18
"4994-89A" "oRG46_oRG47" 1 0.627857825883803 0.0554569687896703 18
"4994-89A" "oRG46_oRG47" 2 0.818893183557105 0.0312715584952665 18
"4994-89A" "oRG46_oRG47" 4 0.879145915039884 0.0163119265823673 18
"5415" "oRG46_oRG47" 0 0 0.121586514013663 18
"5415" "oRG46_oRG47" 1 0.774666697266024 0.0275528299183615 18
"5415" "oRG46_oRG47" 2 0.885795500263705 0.0133853211295891 18
"5415" "oRG46_oRG47" 4 0.878169183025321 0.0220266548287838 18
"5983" "oRG46_oRG47" 0 0 0.167670623644649 18
"5983" "oRG46_oRG47" 1 0.53317749653999 0.0800182829469163 18
"5983" "oRG46_oRG47" 2 0.750311626937943 0.0374101013847688 18
"5983" "oRG46_oRG47" 4 0.829305122014492 0.0229212564031579 18
"5985" "oRG46_oRG47" 0 0 0.139794596126206 18
"5985" "oRG46_oRG47" 1 0.604596634393249 0.0446101509974949 18
"5985" "oRG46_oRG47" 2 0.858045237413213 0.0176544666147908 18
"5985" "oRG46_oRG47" 4 0.915909446971976 0.0115138606892389 18
"5986" "oRG46_oRG47" 0 0 0.201348223848089 18
"5986" "oRG46_oRG47" 1 0.795075479321233 0.0370198586981932 18
"5986" "oRG46_oRG47" 2 0.891595316979265 0.019047742705124 18
"5986" "oRG46_oRG47" 4 0.906527547232278 0.0174447835547766 18
"5987" "oRG46_oRG47" 0 0 0.15796057985245 18
"5987" "oRG46_oRG47" 1 0.543776817985936 0.0671415403218549 18
"5987" "oRG46_oRG47" 2 0.694338238438513 0.0519712944692456 18
"5987" "oRG46_oRG47" 4 0.733954586082271 0.0460788387222354 18
"4518-13B" "oRG46_oRG47" 0 0 0.0950637190439959 19
