"strain" "primers" "time" "mean" "sd" "experiment_ID"
"5415" "oRG50_oRG51" 0 0 NA 1
"5415" "oRG50_oRG51" 1 0.588180728714564 0.123325172091544 1
"5415" "oRG50_oRG51" 2 0.776727874986199 0.0634735500339585 1
"5415" "oRG50_oRG51" 4 0.866264636213594 0.176168121720582 1
"5415" "oRG52_oRG53" 0 0 NA 1
"5415" "oRG52_oRG53" 1 0.0449419770093644 0.00974315001789252 1
"5415" "oRG52_oRG53" 2 0.0564622403867716 0.00732992999465033 1
"5415" "oRG52_oRG53" 4 0.135862893301243 0.0416632449208263 1
"4518-13B" "oRG50_oRG51" 0 0 NA 2
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 2
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 2
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 2
"4518-13B" "oRG52_oRG53" 0 0 NA 2
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 2
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 2
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 2
"5415" "oRG50_oRG51" 0 0 NA 2
"5415" "oRG50_oRG51" 1 0.662164566716272 0.170831679517915 2
"5415" "oRG50_oRG51" 2 0.845892653925767 0.093099823591544 2
"5415" "oRG50_oRG51" 4 0.997408129908253 0.0940681977860286 2
"5415" "oRG52_oRG53" 0 0 NA 2
"5415" "oRG52_oRG53" 1 0.10665195079292 0.0313950620398595 2
"5415" "oRG52_oRG53" 2 0.0799690366843899 0.00792258446730264 2
"5415" "oRG52_oRG53" 4 0.126396053897401 0.0153348956889291 2
"4518-13B" "oRG50_oRG51" 0 0 NA 4
"4518-13B" "oRG50_oRG51" 1 0.887493440593048 0.0573473820320021 4
"4518-13B" "oRG50_oRG51" 2 0.947875340551744 0.0591400555264861 4
"4518-13B" "oRG50_oRG51" 4 0.99695190288766 0.0568936845643102 4
"4518-13B" "oRG52_oRG53" 0 0 NA 4
"4518-13B" "oRG52_oRG53" 1 0.0558859817576871 0.00644177032316335 4
"4518-13B" "oRG52_oRG53" 2 0.242921323211768 0.0242154985303645 4
"4518-13B" "oRG52_oRG53" 4 0.48524898809364 0.0259346329647022 4
"5415" "oRG50_oRG51" 0 0 NA 4
"5415" "oRG50_oRG51" 1 0.513300793364081 0.0484096673574672 4
"5415" "oRG50_oRG51" 2 0.80579820233853 0.0438933148993575 4
"5415" "oRG50_oRG51" 4 0.946597786715432 0.0393666808925228 4
"5415" "oRG52_oRG53" 0 0 NA 4
"5415" "oRG52_oRG53" 1 0.0353015275686764 0.00611483683367297 4
"5415" "oRG52_oRG53" 2 0.0377076667425577 0.00526651115807116 4
"5415" "oRG52_oRG53" 4 0.114900682648737 0.0072522293614208 4
"4518-13B" "oRG50_oRG51" 0 0 NA 5
"4518-13B" "oRG50_oRG51" 1 0.9518180798765 0.131174279153032 5
"4518-13B" "oRG50_oRG51" 2 0.92409352434616 0.0617800993640154 5
"4518-13B" "oRG50_oRG51" 4 0.99478146034013 0.0848911226949459 5
"4518-13B" "oRG52_oRG53" 0 0 NA 5
"4518-13B" "oRG52_oRG53" 1 0.0701165720092239 0.0116672530727131 5
"4518-13B" "oRG52_oRG53" 2 0.215307490055714 0.0229143033917698 5
"4518-13B" "oRG52_oRG53" 4 0.461970982262427 0.0442212739743909 5
"5415" "oRG50_oRG51" 0 0 NA 5
"5415" "oRG50_oRG51" 1 0.584645210802084 0.113357201137243 5
"5415" "oRG50_oRG51" 2 0.790597080878245 0.0593962670653073 5
"5415" "oRG50_oRG51" 4 0.92978290602881 0.0505323704211118 5
"5415" "oRG52_oRG53" 0 0 NA 5
"5415" "oRG52_oRG53" 1 0.068662723765609 0.0144351499630635 5
"5415" "oRG52_oRG53" 2 0.0572981527992365 0.00923151792918799 5
"5415" "oRG52_oRG53" 4 0.110914092238016 0.0138965759169232 5
"4518-13B" "oRG50_oRG51" 0 0 NA 6
"4518-13B" "oRG50_oRG51" 1 0.967628294067048 0.0722683126838091 6
"4518-13B" "oRG50_oRG51" 2 0.956483279382447 0.074948999126856 6
"4518-13B" "oRG50_oRG51" 4 0.9267256084801 0.049779295414956 6
"4518-13B" "oRG52_oRG53" 0 0 NA 6
