"strain" "time" "mean" "sd" "n"
"4518-13B" 0 0 0 13
"4518-13B" 1 0.891284810764494 0.0406617304581532 13
"4518-13B" 2 0.896836359386562 0.0387648132812722 13
"4518-13B" 4 0.902048802944236 0.0291109960292354 13
"4822-3C" 0 0 0 3
"4822-3C" 1 0.819904309707394 0.0217455936847727 3
"4822-3C" 2 0.890909701234957 0.0225683414629728 3
"4822-3C" 4 0.897309500427525 0.010305269063902 3
"4994-89A" 0 0 0 5
"4994-89A" 1 0.742321468433648 0.0939962027998211 5
"4994-89A" 2 0.872159193132309 0.0327115842540221 5
"4994-89A" 4 0.910599967786676 0.0252295211660324 5
"5415" 0 0 0 13
"5415" 1 0.540925419680517 0.0924947416409222 13
"5415" 2 0.759945645837434 0.0723207033454694 13
"5415" 4 0.824613970575939 0.0424586687299478 13
"5758" 0 0 0 3
"5758" 1 0.588909805035336 0.0150419891783584 3
"5758" 2 0.793627390197532 0.0289998138945085 3
"5758" 4 0.832622851170902 0.0249016214242915 3
"5983" 0 0 0 3
"5983" 1 0.592387457915619 0.0525787782626542 3
"5983" 2 0.811060901761634 0.0539029064746449 3
"5983" 4 0.861041853738958 0.0274862613215636 3
"5985" 0 0 0 3
"5985" 1 0.599343159589231 0.0102873626888287 3
"5985" 2 0.860458239993338 0.0187657896770325 3
"5985" 4 0.909962715649565 0.0169427183175267 3
"5986" 0 0 0 3
"5986" 1 0.749314640612734 0.0437582809135186 3
"5986" 2 0.876312695558392 0.0240987183505064 3
"5986" 4 0.89256773841564 0.0296923064936723 3
"5987" 0 0 0 3
"5987" 1 0.510495737909026 0.0625246930302962 3
"5987" 2 0.673981824193025 0.0885938828190422 3
"5987" 4 0.714798628147567 0.0713273130373938 3
