"strain" "primers" "time" "mean" "sd" "n"
"4518-13B" "oRG50_oRG51" 0 0 0 14
"4518-13B" "oRG50_oRG51" 1 0.952064005136447 0.0701038823510805 14
"4518-13B" "oRG50_oRG51" 2 0.969296985495251 0.0327535129276812 14
"4518-13B" "oRG50_oRG51" 4 0.959148444541225 0.0437799310208511 14
"4518-13B" "oRG52_oRG53" 0 0 0 14
"4518-13B" "oRG52_oRG53" 1 0.0730076073209496 0.017901496985806 14
"4518-13B" "oRG52_oRG53" 2 0.221039576365339 0.048850252031242 14
"4518-13B" "oRG52_oRG53" 4 0.382980531776957 0.0734967705389484 14
"4822-3C" "oRG50_oRG51" 0 0 0 4
"4822-3C" "oRG50_oRG51" 1 0.90605716725183 0.0441887952382032 4
"4822-3C" "oRG50_oRG51" 2 0.973602042644472 0.0760371334869678 4
"4822-3C" "oRG50_oRG51" 4 0.960708251627172 0.0178713210885809 4
"4822-3C" "oRG52_oRG53" 0 0 0 4
"4822-3C" "oRG52_oRG53" 1 0.0576023483917752 0.00820054424414032 4
"4822-3C" "oRG52_oRG53" 2 0.236572980791731 0.0597960259650602 4
"4822-3C" "oRG52_oRG53" 4 0.514378689347063 0.100672307785592 4
"4994-89A" "oRG50_oRG51" 0 0 0 6
"4994-89A" "oRG50_oRG51" 1 0.846876977426808 0.0385767228811956 6
"4994-89A" "oRG50_oRG51" 2 0.935443086876833 0.0235717044354717 6
"4994-89A" "oRG50_oRG51" 4 0.922804436148355 0.0473901882796991 6
"4994-89A" "oRG52_oRG53" 0 0 0 6
"4994-89A" "oRG52_oRG53" 1 0.0533506221763155 0.0150143787676925 6
"4994-89A" "oRG52_oRG53" 2 0.143479619835828 0.0504673041690141 6
"4994-89A" "oRG52_oRG53" 4 0.286172726687814 0.0829975247714149 6
"5415" "oRG50_oRG51" 0 0 0 13
"5415" "oRG50_oRG51" 1 0.590657298403156 0.0505859736605106 13
"5415" "oRG50_oRG51" 2 0.8028035022004 0.047602339421407 13
"5415" "oRG50_oRG51" 4 0.951230451917077 0.0406409621606464 13
"5415" "oRG52_oRG53" 0 0 0 13
"5415" "oRG52_oRG53" 1 0.0924639660389946 0.0424474957890812 13
"5415" "oRG52_oRG53" 2 0.0769290630242828 0.0224495094456041 13
"5415" "oRG52_oRG53" 4 0.131853495994676 0.0157683446621934 13
"5758" "oRG50_oRG51" 0 0 0 3
"5758" "oRG50_oRG51" 1 0.977447468158808 0.0309657375911723 3
"5758" "oRG50_oRG51" 2 0.967402551685916 0.0202490694959126 3
"5758" "oRG50_oRG51" 4 0.996359864442735 0.00744014366425431 3
"5758" "oRG52_oRG53" 0 0 0 3
"5758" "oRG52_oRG53" 1 0.120457189647289 0.00815966645020708 3
"5758" "oRG52_oRG53" 2 0.169429847871221 0.00987213836262821 3
"5758" "oRG52_oRG53" 4 0.381467966641818 0.0275952142673701 3
"5983" "oRG50_oRG51" 0 0 0 3
"5983" "oRG50_oRG51" 1 0.902606709038922 0.1313767081987 3
"5983" "oRG50_oRG51" 2 0.994036376717324 0.0681711521108438 3
"5983" "oRG50_oRG51" 4 0.959867469006838 0.0429973078975053 3
"5983" "oRG52_oRG53" 0 0 0 3
"5983" "oRG52_oRG53" 1 0.0845474333497148 0.019980903616773 3
"5983" "oRG52_oRG53" 2 0.183453701672144 0.0605453819846129 3
"5983" "oRG52_oRG53" 4 0.363781177145913 0.137014669989546 3
"5985" "oRG50_oRG51" 0 0 0 3
"5985" "oRG50_oRG51" 1 0.759514053307151 0.079420436353866 3
"5985" "oRG50_oRG51" 2 0.881662330163696 0.0372833125264099 3
"5985" "oRG50_oRG51" 4 0.902507321238335 0.0217569833883537 3
"5985" "oRG52_oRG53" 0 0 0 3
"5985" "oRG52_oRG53" 1 0.0802686184445002 0.0181966168683674 3
"5985" "oRG52_oRG53" 2 0.094836652577003 0.0111261108899145 3
"5985" "oRG52_oRG53" 4 0.240133953184027 0.0282181781791946 3
"5986" "oRG50_oRG51" 0 0 0 3
"5986" "oRG50_oRG51" 1 0.917595902165476 0.0783001880781236 3
"5986" "oRG50_oRG51" 2 0.959381148200626 0.0283834463965344 3
"5986" "oRG50_oRG51" 4 0.978613019309512 0.0582998289795965 3
"5986" "oRG52_oRG53" 0 0 0 3
"5986" "oRG52_oRG53" 1 0.112944017112096 0.042638186195263 3
"5986" "oRG52_oRG53" 2 0.145031071018571 0.0161621121642548 3
"5986" "oRG52_oRG53" 4 0.258938275665649 0.00532834041694586 3
"5987" "oRG50_oRG51" 0 0 0 3
"5987" "oRG50_oRG51" 1 0.967170139874105 0.0796958431083404 3
"5987" "oRG50_oRG51" 2 0.994073650439561 0.0643849295395408 3
"5987" "oRG50_oRG51" 4 1.03891998998605 0.041876625861552 3
"5987" "oRG52_oRG53" 0 0 0 3
"5987" "oRG52_oRG53" 1 0.142156258475383 0.0361810978940202 3
"5987" "oRG52_oRG53" 2 0.1954936688359 0.011429939333138 3
"5987" "oRG52_oRG53" 4 0.316200192889243 0.0227715859651179 3
