"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 1
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 1
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 1
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 1
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 2
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 2
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 2
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 2
"5415" "oRG46_oRG47" 0 0 0.133443231345338 2
"5415" "oRG46_oRG47" 1 0.40760233856021 0.0859905308247493 2
"5415" "oRG46_oRG47" 2 0.739032284937298 0.0353006785571693 2
"5415" "oRG46_oRG47" 4 0.812128938794774 0.0265273040655575 2
"5415" "oRG46_oRG47" 0 0 0.211840558518884 3
"5415" "oRG46_oRG47" 1 0.615518159185695 0.0700060654970399 3
"5415" "oRG46_oRG47" 2 0.839864288924606 0.0254470484605004 3
"5415" "oRG46_oRG47" 4 0.876774910494061 0.0328080956514219 3
"4518-13B" "oRG46_oRG47" 0 0 0.27552973344568 11
"4518-13B" "oRG46_oRG47" 1 0.955475214102687 0.00884172744020235 11
"4518-13B" "oRG46_oRG47" 2 0.960485202300532 0.00853217904793065 11
"4518-13B" "oRG46_oRG47" 4 0.946329833692149 0.0109537338121022 11
"5415" "oRG46_oRG47" 0 0 0.119937199399585 11
"5415" "oRG46_oRG47" 1 0.60777128979661 0.0424909003792591 11
"5415" "oRG46_oRG47" 2 0.8451144944783 0.0152031265018655 11
"5415" "oRG46_oRG47" 4 0.88826708046945 0.0100157138159254 11
"4518-13B" "oRG46_oRG47" 0 0 0.531459795935959 13
"4518-13B" "oRG46_oRG47" 1 0.906735443492476 0.0374722631387923 13
"4518-13B" "oRG46_oRG47" 2 0.921091057628051 0.0316290747425064 13
"4518-13B" "oRG46_oRG47" 4 0.910804488276682 0.0346708129078576 13
"5415" "oRG46_oRG47" 0 0 0.117315865347204 13
"5415" "oRG46_oRG47" 1 0.502078891870423 0.0684061883902653 13
"5415" "oRG46_oRG47" 2 0.806749784028301 0.022855166877412 13
"5415" "oRG46_oRG47" 4 0.857515247245831 0.0162752207100387 13
"4518-13B" "oRG46_oRG47" 0 0 0.220405554217718 14
"4518-13B" "oRG46_oRG47" 1 0.920922647678431 0.0136993058800947 14
"4518-13B" "oRG46_oRG47" 2 0.927061485393256 0.0125826198040088 14
"4518-13B" "oRG46_oRG47" 4 0.926715458042049 0.0117620081104337 14
"5415" "oRG46_oRG47" 0 0 0.167013700777374 14
"5415" "oRG46_oRG47" 1 0.466367356908457 0.069812697552457 14
"5415" "oRG46_oRG47" 2 0.732103205411885 0.0394473746849772 14
"5415" "oRG46_oRG47" 4 0.825726090312897 0.0235515447034371 14
"4518-13B" "oRG46_oRG47" 0 0 0.149325232158407 15
"4518-13B" "oRG46_oRG47" 1 0.870638870886662 0.0176035509566474 15
"4518-13B" "oRG46_oRG47" 2 0.871895485842598 0.0152593609726541 15
"4518-13B" "oRG46_oRG47" 4 0.877819692299566 0.0150786199591858 15
"5415" "oRG46_oRG47" 0 0 0.138845358240999 15
"5415" "oRG46_oRG47" 1 0.481785473167132 0.0671374524649531 15
"5415" "oRG46_oRG47" 2 0.706908636257992 0.0326450503368492 15
"5415" "oRG46_oRG47" 4 0.784006569528262 0.0258076912877361 15
"4518-13B" "oRG46_oRG47" 0 0 0.213695443943031 16
"4518-13B" "oRG46_oRG47" 1 0.867634633205951 0.0383897102550023 16
"4518-13B" "oRG46_oRG47" 2 0.872461151831451 0.0202924568747055 16
"4518-13B" "oRG46_oRG47" 4 0.88610690505271 0.0232439360399473 16
"5415" "oRG46_oRG47" 0 0 0.271762162890036 16
"5415" "oRG46_oRG47" 1 0.50563965416733 0.137756228224802 16
"5415" "oRG46_oRG47" 2 0.778606555647113 0.0458550410276852 16
"5415" "oRG46_oRG47" 4 0.821136206189022 0.0385988515229372 16
"5953" "oRG46_oRG47" 0 0 0.0606213956117388 16
"5953" "oRG46_oRG47" 1 0.381036233542546 0.0647335312334912 16
"5953" "oRG46_oRG47" 2 0.614900132077252 0.0294005294405691 16
"5953" "oRG46_oRG47" 4 0.690931295102113 0.0344689616293084 16
"5965" "oRG46_oRG47" 0 0 0.0774199294329449 16
"5965" "oRG46_oRG47" 1 0.630464380515072 0.0582543064637482 16
"5965" "oRG46_oRG47" 2 0.830974583847018 0.0150776436717116 16
"5965" "oRG46_oRG47" 4 0.876340348957649 0.0154957822752826 16
"5967" "oRG46_oRG47" 0 0 0.0774512341691431 16
"5967" "oRG46_oRG47" 1 0.700579584395617 0.0261737664602526 16
"5967" "oRG46_oRG47" 2 0.837171698434082 0.0371076093481912 16
"5967" "oRG46_oRG47" 4 0.855923171557429 0.027295173083219 16
"5415" "oRG46_oRG47" 0 0 0.275785808592546 17
"5415" "oRG46_oRG47" 1 0.597933941238213 0.0913853351288067 17
"5415" "oRG46_oRG47" 2 0.780387795078543 0.047450800140165 17
"5415" "oRG46_oRG47" 4 0.834171688796218 0.0369801199690679 17
"5953" "oRG46_oRG47" 0 0 0.114476885171229 17
"5953" "oRG46_oRG47" 1 0.369174299053861 0.0659157741069375 17
"5953" "oRG46_oRG47" 2 0.576098156797232 0.0378482130606201 17
"5953" "oRG46_oRG47" 4 0.667337430059469 0.0427869939505506 17
"5965" "oRG46_oRG47" 0 0 0.126803227160002 17
"5965" "oRG46_oRG47" 1 0.716404962705123 0.0475020245434383 17
"5965" "oRG46_oRG47" 2 0.839289009441385 0.0160697629864025 17
"5965" "oRG46_oRG47" 4 0.866783376221008 0.0197860141970325 17
"5967" "oRG46_oRG47" 0 0 0.186056382265421 17
"5967" "oRG46_oRG47" 1 0.738164797893697 0.0444096977502768 17
"5967" "oRG46_oRG47" 2 0.835791344953875 0.0277397240616053 17
"5967" "oRG46_oRG47" 4 0.859031377161254 0.0260727534249863 17
"5415" "oRG46_oRG47" 0 0 0.153853469076635 18
"5415" "oRG46_oRG47" 1 0.502935870847118 0.0621778024484783 18
"5415" "oRG46_oRG47" 2 0.656553840581545 0.0552945799033025 18
"5415" "oRG46_oRG47" 4 0.771643074658841 0.0468314109520914 18
"5953" "oRG46_oRG47" 0 0 0.106864107618361 18
"5953" "oRG46_oRG47" 1 0.366945418765383 0.0725914781693213 18
"5953" "oRG46_oRG47" 2 0.5592259017548 0.0448289069595668 18
"5953" "oRG46_oRG47" 4 0.680112830089201 0.0377811057053985 18
"5965" "oRG46_oRG47" 0 0 0.221265711659171 18
"5965" "oRG46_oRG47" 1 0.656164352654463 0.0654692018612412 18
"5965" "oRG46_oRG47" 2 0.736936950610851 0.0455121591677927 18
"5965" "oRG46_oRG47" 4 0.801698070064206 0.0370852374329594 18
"5967" "oRG46_oRG47" 0 0 0.165660202075171 18
"5967" "oRG46_oRG47" 1 0.692598357300318 0.0451745983536641 18
"5967" "oRG46_oRG47" 2 0.848978841822368 0.0214499278462841 18
"5967" "oRG46_oRG47" 4 0.881240855696232 0.0170554965272515 18
"5415" "oRG46_oRG47" 0 0 0.179310625583599 19
"5415" "oRG46_oRG47" 1 0.540250883911402 0.0753114863961534 19
"5415" "oRG46_oRG47" 2 0.687119210346891 0.0536450919672184 19
"5415" "oRG46_oRG47" 4 0.764413722927973 0.0404988326396427 19
"5953" "oRG46_oRG47" 0 0 0.104810210366809 19
"5953" "oRG46_oRG47" 1 0.423172795417711 0.0679891418248644 19
"5953" "oRG46_oRG47" 2 0.525326554866066 0.0425243676545297 19
"5953" "oRG46_oRG47" 4 0.657571865738827 0.0591431708287415 19
"5965" "oRG46_oRG47" 0 0 0.178893671227526 19
"5965" "oRG46_oRG47" 1 0.66997559146439 0.0659671155169591 19
