"strain" "time" "mean" "sd" "n"
"4518-13B" 0 0 0 16
"4518-13B" 1 0.88937321218748 0.0411749899307863 16
"4518-13B" 2 0.895630049005022 0.0395253214192901 16
"4518-13B" 4 0.901631316088057 0.0292409112216598 16
"5415" 0 0 0 16
"5415" 1 0.544341477616948 0.0838937736850181 16
"5415" 2 0.76013473115111 0.0689836090664135 16
"5415" 4 0.828371641916275 0.0415398770939954 16
"5934" 0 0 0 5
"5934" 1 0.480050823382668 0.0388086728895136 5
"5934" 2 0.703250845159886 0.0302441717069393 5
"5934" 4 0.78758092637118 0.017978352731771 5
"5935" 0 0 0 5
"5935" 1 0.48697215410103 0.0556322465499076 5
"5935" 2 0.748616012774892 0.0431028675385954 5
"5935" 4 0.811302312384343 0.0397362687692854 5
"5953" 0 0 0 4
"5953" 1 0.385082186694875 0.026135974249518 4
"5953" 2 0.568887686373837 0.0372382343995986 4
"5953" 4 0.673988355247403 0.0145866187154394 4
"5965" 0 0 0 4
"5965" 1 0.668252321834762 0.0360356027149565 4
"5965" 2 0.798713535552892 0.0469957905107056 4
"5965" 4 0.843659342059013 0.0344246397086151 4
"5967" 0 0 0 4
"5967" 1 0.711139055441725 0.0199161066953845 4
"5967" 2 0.828610721639293 0.024789943486945 4
"5967" 4 0.858546758902198 0.0177449839843547 4
