"strain" "primers" "time" "mean" "sd" "n"
"4518-13B" "oRG50_oRG51" 0 0 0 17
"4518-13B" "oRG50_oRG51" 1 0.947550237190599 0.0800740782178873 17
"4518-13B" "oRG50_oRG51" 2 0.958678405269457 0.0427911999626613 17
"4518-13B" "oRG50_oRG51" 4 0.952381092903736 0.0544980910715453 17
"4518-13B" "oRG52_oRG53" 0 0 0 17
"4518-13B" "oRG52_oRG53" 1 0.0709139085964043 0.0200572442729385 17
"4518-13B" "oRG52_oRG53" 2 0.205513902326613 0.0597863026184561 17
"4518-13B" "oRG52_oRG53" 4 0.358195307888112 0.0882042178240137 17
"5415" "oRG50_oRG51" 0 0 0 16
"5415" "oRG50_oRG51" 1 0.569224852649724 0.07070928705274 16
"5415" "oRG50_oRG51" 2 0.804018250980394 0.0584704790769689 16
"5415" "oRG50_oRG51" 4 0.936670392159544 0.0572911427465954 16
"5415" "oRG52_oRG53" 0 0 0 16
"5415" "oRG52_oRG53" 1 0.0853815791073287 0.0418205720969156 16
"5415" "oRG52_oRG53" 2 0.0724271949996688 0.0239521814836901 16
"5415" "oRG52_oRG53" 4 0.125578287242894 0.0220719060140682 16
"5934" "oRG50_oRG51" 0 0 0 5
"5934" "oRG50_oRG51" 1 0.0935697090799341 0.031774155171154 5
"5934" "oRG50_oRG51" 2 0.0716477169389813 0.030203074535719 5
"5934" "oRG50_oRG51" 4 0.0642049014545146 0.0190134057116773 5
"5934" "oRG52_oRG53" 0 0 0 5
"5934" "oRG52_oRG53" 1 0.0749971911169168 0.0287042298496779 5
"5934" "oRG52_oRG53" 2 0.0582694216564973 0.0257677967464088 5
"5934" "oRG52_oRG53" 4 0.0488001287831848 0.016686551082658 5
"5935" "oRG50_oRG51" 0 0 0 5
"5935" "oRG50_oRG51" 1 0.0749843761112715 0.0351164400669561 5
"5935" "oRG50_oRG51" 2 0.0529625548359154 0.0256665010770502 5
"5935" "oRG50_oRG51" 4 0.0584106689687981 0.0200245685808002 5
"5935" "oRG52_oRG53" 0 0 0 5
"5935" "oRG52_oRG53" 1 0.0706818828895292 0.0343405843998669 5
"5935" "oRG52_oRG53" 2 0.0426413561461586 0.022488202858602 5
"5935" "oRG52_oRG53" 4 0.046723707110705 0.0175523922205826 5
"5953" "oRG50_oRG51" 0 0 0 4
"5953" "oRG50_oRG51" 1 0.798482706576795 0.0438682800095775 4
"5953" "oRG50_oRG51" 2 0.990699072689616 0.0998869024761643 4
"5953" "oRG50_oRG51" 4 0.906702666851558 0.0428945324565039 4
"5953" "oRG52_oRG53" 0 0 0 4
"5953" "oRG52_oRG53" 1 0.216519442446495 0.0245982369138701 4
"5953" "oRG52_oRG53" 2 0.204089608810072 0.0193718913196175 4
"5953" "oRG52_oRG53" 4 0.310321731304328 0.0213771075065045 4
"5965" "oRG50_oRG51" 0 0 0 4
"5965" "oRG50_oRG51" 1 0.863631115676095 0.0383854029163385 4
"5965" "oRG50_oRG51" 2 1.00965086023532 0.0349327448616002 4
"5965" "oRG50_oRG51" 4 0.975016884900491 0.0428482331409553 4
"5965" "oRG52_oRG53" 0 0 0 4
"5965" "oRG52_oRG53" 1 0.0941829549137231 0.00825899562133554 4
"5965" "oRG52_oRG53" 2 0.165927368943118 0.0229326183064289 4
"5965" "oRG52_oRG53" 4 0.300648113758324 0.0272001174863894 4
"5967" "oRG50_oRG51" 0 0 0 4
"5967" "oRG50_oRG51" 1 0.484626703959362 0.0122820950690779 4
"5967" "oRG50_oRG51" 2 0.84471775960309 0.0223423937411298 4
"5967" "oRG50_oRG51" 4 0.889993616273211 0.0320556123925445 4
"5967" "oRG52_oRG53" 0 0 0 4
"5967" "oRG52_oRG53" 1 0.0691105028101701 0.0156051160369359 4
"5967" "oRG52_oRG53" 2 0.0852049504948211 0.0121918868757412 4
"5967" "oRG52_oRG53" 4 0.183037684256778 0.0251248909894606 4
