"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG50_oRG51" 0 0 NA 1
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 1
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 1
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 1
"4518-13B" "oRG52_oRG53" 0 0 NA 1
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 1
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 1
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 1
"4518-13B" "oRG50_oRG51" 0 0 NA 2
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 2
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 2
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 2
"4518-13B" "oRG52_oRG53" 0 0 NA 2
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 2
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 2
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 2
"5415" "oRG50_oRG51" 0 0 NA 2
"5415" "oRG50_oRG51" 1 0.662164566716272 0.170831679517915 2
"5415" "oRG50_oRG51" 2 0.845892653925767 0.093099823591544 2
"5415" "oRG50_oRG51" 4 0.997408129908253 0.0940681977860286 2
"5415" "oRG52_oRG53" 0 0 NA 2
"5415" "oRG52_oRG53" 1 0.10665195079292 0.0313950620398595 2
"5415" "oRG52_oRG53" 2 0.0799690366843899 0.00792258446730264 2
"5415" "oRG52_oRG53" 4 0.126396053897401 0.0153348956889291 2
"5451" "oRG50_oRG51" 0 0 NA 2
"5451" "oRG50_oRG51" 1 0.518230239854245 0.0817601250178776 2
"5451" "oRG50_oRG51" 2 0.769939042676518 0.0598261776801574 2
"5451" "oRG50_oRG51" 4 0.895536692399159 0.0595220445088775 2
"5451" "oRG52_oRG53" 0 0 NA 2
"5451" "oRG52_oRG53" 1 0.0420832771660435 0.00810821614241168 2
"5451" "oRG52_oRG53" 2 0.0689783371390035 0.00948082187469137 2
"5451" "oRG52_oRG53" 4 0.156239778933287 0.017729319986535 2
"5452" "oRG50_oRG51" 0 0 NA 2
"5452" "oRG50_oRG51" 1 0.823813965559953 0.104477247078161 2
"5452" "oRG50_oRG51" 2 0.892954652674573 0.0637213882081574 2
"5452" "oRG50_oRG51" 4 0.922266847371747 0.0663517833771099 2
"5452" "oRG52_oRG53" 0 0 NA 2
"5452" "oRG52_oRG53" 1 0.064519522602558 0.0117986327825575 2
"5452" "oRG52_oRG53" 2 0.149234966689946 0.0165861462347439 2
"5452" "oRG52_oRG53" 4 0.360521614400942 0.0282125304126242 2
"5415" "oRG50_oRG51" 0 0 NA 3
"5415" "oRG50_oRG51" 1 0.588180728714564 0.123325172091544 3
"5415" "oRG50_oRG51" 2 0.776727874986199 0.0634735500339585 3
"5415" "oRG50_oRG51" 4 0.866264636213594 0.176168121720582 3
"5415" "oRG52_oRG53" 0 0 NA 3
"5415" "oRG52_oRG53" 1 0.0449419770093644 0.00974315001789252 3
"5415" "oRG52_oRG53" 2 0.0564622403867716 0.00732992999465033 3
"5415" "oRG52_oRG53" 4 0.135862893301243 0.0416632449208263 3
"5451" "oRG50_oRG51" 0 0 NA 5
"5451" "oRG50_oRG51" 1 0.615816046058542 0.15370183888142 5
"5451" "oRG50_oRG51" 2 0.83763917121503 0.0657989968946203 5
"5451" "oRG50_oRG51" 4 0.927830428112044 0.116988867501761 5
"5451" "oRG52_oRG53" 0 0 NA 5
"5451" "oRG52_oRG53" 1 0.0550818819895185 0.0168764525648054 5
"5451" "oRG52_oRG53" 2 0.0752003294534504 0.00653312445613647 5
"5451" "oRG52_oRG53" 4 0.151776859360319 0.018877538091267 5
"5452" "oRG50_oRG51" 0 0 NA 5
"5452" "oRG50_oRG51" 1 0.776876553618368 0.104595515410202 5
"5452" "oRG50_oRG51" 2 0.959009790677343 0.0804160160830085 5
"5452" "oRG50_oRG51" 4 0.960432530614652 0.080753993689552 5
"5452" "oRG52_oRG53" 0 0 NA 5
"5452" "oRG52_oRG53" 1 0.0577188295012879 0.00987372781295381 5
"5452" "oRG52_oRG53" 2 0.16298050998433 0.0229567146149271 5
"5452" "oRG52_oRG53" 4 0.366970603493873 0.0282058717505721 5
"5451" "oRG50_oRG51" 0 0 NA 6
"5451" "oRG50_oRG51" 1 0.56091963240898 0.0714837100554322 6
"5451" "oRG50_oRG51" 2 0.754180289382543 0.0830446247309945 6
"5451" "oRG50_oRG51" 4 0.854563345138585 0.0747676244398666 6
"5451" "oRG52_oRG53" 0 0 NA 6
"5451" "oRG52_oRG53" 1 0.0681986480039211 0.00933214638475253 6
"5451" "oRG52_oRG53" 2 0.0647216623397981 0.00481870402750284 6
"5451" "oRG52_oRG53" 4 0.133422190533342 0.0159986613728564 6
"5452" "oRG50_oRG51" 0 0 NA 6
"5452" "oRG50_oRG51" 1 0.799636775935491 0.0844907086312204 6
"5452" "oRG50_oRG51" 2 0.920311771591379 0.11392755536984 6
"5452" "oRG50_oRG51" 4 0.978374076698267 0.0798215781778855 6
"5452" "oRG52_oRG53" 0 0 NA 6
