"strain" "time" "mean" "sd" "n"
"4518-13B" 0 0 0 13
"4518-13B" 1 0.891284810764494 0.0406617304581532 13
"4518-13B" 2 0.896836359386562 0.0387648132812722 13
"4518-13B" 4 0.902048802944236 0.0291109960292354 13
"5415" 0 0 0 13
"5415" 1 0.540925419680517 0.0924947416409222 13
"5415" 2 0.759945645837434 0.0723207033454694 13
"5415" 4 0.824613970575939 0.0424586687299478 13
"5451" 0 0 0 3
"5451" 1 0.621006364136125 0.0381051044203344 3
"5451" 2 0.771970583387479 0.0321260987553009 3
"5451" 4 0.81468307871692 0.019430414366502 3
"5452" 0 0 0 3
"5452" 1 0.640596672747945 0.0198316282584338 3
"5452" 2 0.788387578940711 0.00464422221382798 3
"5452" 4 0.827445020875946 0.0100235495953725 3
