"strain" "primers" "time" "mean" "sd" "n"
"4518-13B" "oRG50_oRG51" 0 0 0 14
"4518-13B" "oRG50_oRG51" 1 0.952064005136447 0.0701038823510805 14
"4518-13B" "oRG50_oRG51" 2 0.969296985495251 0.0327535129276812 14
"4518-13B" "oRG50_oRG51" 4 0.959148444541225 0.0437799310208511 14
"4518-13B" "oRG52_oRG53" 0 0 0 14
"4518-13B" "oRG52_oRG53" 1 0.0730076073209496 0.017901496985806 14
"4518-13B" "oRG52_oRG53" 2 0.221039576365339 0.048850252031242 14
"4518-13B" "oRG52_oRG53" 4 0.382980531776957 0.0734967705389484 14
"5415" "oRG50_oRG51" 0 0 0 13
"5415" "oRG50_oRG51" 1 0.590657298403156 0.0505859736605106 13
"5415" "oRG50_oRG51" 2 0.8028035022004 0.047602339421407 13
"5415" "oRG50_oRG51" 4 0.951230451917077 0.0406409621606464 13
"5415" "oRG52_oRG53" 0 0 0 13
"5415" "oRG52_oRG53" 1 0.0924639660389946 0.0424474957890812 13
"5415" "oRG52_oRG53" 2 0.0769290630242828 0.0224495094456041 13
"5415" "oRG52_oRG53" 4 0.131853495994676 0.0157683446621934 13
"5451" "oRG50_oRG51" 0 0 0 3
"5451" "oRG50_oRG51" 1 0.564988639440589 0.048919985760455 3
"5451" "oRG50_oRG51" 2 0.787252834424697 0.0443415355812892 3
"5451" "oRG50_oRG51" 4 0.892643488549929 0.0367191276209665 3
"5451" "oRG52_oRG53" 0 0 0 3
"5451" "oRG52_oRG53" 1 0.055121269053161 0.013057729971383 3
"5451" "oRG52_oRG53" 2 0.0696334429774173 0.00526996099267608 3
"5451" "oRG52_oRG53" 4 0.147146276275649 0.0120930686707447 3
"5452" "oRG50_oRG51" 0 0 0 3
"5452" "oRG50_oRG51" 1 0.800109098371271 0.0234722703696514 3
"5452" "oRG50_oRG51" 2 0.924092071647765 0.0331894307804229 3
"5452" "oRG50_oRG51" 4 0.953691151561555 0.0286546669729003 3
"5452" "oRG52_oRG53" 0 0 0 3
"5452" "oRG52_oRG53" 1 0.0571131873265444 0.00772697830125054 3
"5452" "oRG52_oRG53" 2 0.145351700035669 0.0198572926136085 3
"5452" "oRG52_oRG53" 4 0.342056902625345 0.0377049383731518 3
