"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 1
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 1
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 1
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 1
"5758" "oRG46_oRG47" 0 0 0.111083861428841 1
"5758" "oRG46_oRG47" 1 0.598235419896235 0.0362370927332767 1
"5758" "oRG46_oRG47" 2 0.823917030221236 0.016508299529112 1
"5758" "oRG46_oRG47" 4 0.860934161167368 0.0169371271582288 1
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 2
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 2
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 2
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 2
"5415" "oRG46_oRG47" 0 0 0.133443231345338 2
"5415" "oRG46_oRG47" 1 0.40760233856021 0.0859905308247493 2
"5415" "oRG46_oRG47" 2 0.739032284937298 0.0353006785571693 2
"5415" "oRG46_oRG47" 4 0.812128938794774 0.0265273040655575 2
"5451" "oRG46_oRG47" 0 0 0.141219933922834 2
"5451" "oRG46_oRG47" 1 0.651252107075841 0.0541749366848599 2
"5451" "oRG46_oRG47" 2 0.803610627033813 0.0281203806717277 2
"5451" "oRG46_oRG47" 4 0.828051356703571 0.0202042636983939 2
"5452" "oRG46_oRG47" 0 0 0.120668077218299 2
"5452" "oRG46_oRG47" 1 0.617701180264856 0.0513542313872211 2
"5452" "oRG46_oRG47" 2 0.79285989981087 0.0189481585254478 2
"5452" "oRG46_oRG47" 4 0.838820411228389 0.0148020400944209 2
"4377-12B" "oRG46_oRG47" 0 0 0.240267322265965 3
"4377-12B" "oRG46_oRG47" 1 0.821823214145087 0.0417667298652595 3
"4377-12B" "oRG46_oRG47" 2 0.853448966328872 0.0480353119532389 3
"4377-12B" "oRG46_oRG47" 4 0.870251706584044 0.0425043549195333 3
"5415" "oRG46_oRG47" 0 0 0.211840558518884 3
"5415" "oRG46_oRG47" 1 0.615518159185695 0.0700060654970399 3
"5415" "oRG46_oRG47" 2 0.839864288924606 0.0254470484605004 3
"5415" "oRG46_oRG47" 4 0.876774910494061 0.0328080956514219 3
"5416" "oRG46_oRG47" 0 0 0.211170302940636 3
"5416" "oRG46_oRG47" 1 0.936767258707783 0.0116654913300177 3
"5416" "oRG46_oRG47" 2 0.964881475801632 0.00874960122455857 3
"5416" "oRG46_oRG47" 4 0.959239958425924 0.00670544141258411 3
"5416" "oRG46_oRG47" 6 0.94213723149562 0.0104297281879282 3
"5417" "oRG46_oRG47" 0 0 0.246733858231851 3
"5417" "oRG46_oRG47" 1 0.877678803583705 0.0277480669157008 3
"5417" "oRG46_oRG47" 2 0.951304282577117 0.00878038191909452 3
"5417" "oRG46_oRG47" 4 0.954181601174864 0.00965447050561046 3
"5417" "oRG46_oRG47" 6 0.929601959358241 0.0159942309003991 3
"5416" "oRG46_oRG47" 0 0 0.173451844208863 4
"5416" "oRG46_oRG47" 1 0.922966777859081 0.0133518113966943 4
"5416" "oRG46_oRG47" 2 0.959338129066149 0.00765520969823107 4
"5416" "oRG46_oRG47" 4 0.949034413267131 0.00897441878576147 4
"5416" "oRG46_oRG47" 6 0.9361515013419 0.00881732546413185 4
"5417" "oRG46_oRG47" 0 0 0.130734024220652 4
"5417" "oRG46_oRG47" 1 0.741324378458844 0.0442798572205379 4
"5417" "oRG46_oRG47" 2 0.900622261865525 0.0163066656090381 4
"5417" "oRG46_oRG47" 4 0.903724762524227 0.0189431472525174 4
"5417" "oRG46_oRG47" 6 0.951780855674349 0.0434026569890258 4
"5453" "oRG46_oRG47" 0 0 0.149507755222219 4
"5453" "oRG46_oRG47" 1 0.865560955085994 0.0211537550998706 4
"5453" "oRG46_oRG47" 2 0.91434512652596 0.0114076197631525 4
"5453" "oRG46_oRG47" 4 0.93787179393637 0.00836997749131932 4
"5453" "oRG46_oRG47" 6 0.942579133896553 0.00730316600990088 4
"5454" "oRG46_oRG47" 0 0 0.129430972036545 4
"5454" "oRG46_oRG47" 1 0.797556657191109 0.0313243129185826 4
"5454" "oRG46_oRG47" 2 0.907061578566948 0.0126833730582219 4
"5454" "oRG46_oRG47" 4 0.941577349003007 0.00995790799891028 4
"5454" "oRG46_oRG47" 6 0.94243971516728 0.00847894896294431 4
"5451" "oRG46_oRG47" 0 0 0.150636654452477 5
"5451" "oRG46_oRG47" 1 0.578208679958625 0.0826104716117362 5
"5451" "oRG46_oRG47" 2 0.739379546395906 0.0349522043029719 5
"5451" "oRG46_oRG47" 4 0.792394201334 0.0311736614509114 5
"5452" "oRG46_oRG47" 0 0 0.109852407179835 5
"5452" "oRG46_oRG47" 1 0.65241964871687 0.0474898431882746 5
"5452" "oRG46_oRG47" 2 0.78871414351959 0.0268177994858374 5
"5452" "oRG46_oRG47" 4 0.82360716818979 0.0156112333065903 5
"5758" "oRG46_oRG47" 0 0 0.0976196854347063 5
"5758" "oRG46_oRG47" 1 0.596936998355142 0.041559174657876 5
"5758" "oRG46_oRG47" 2 0.766117600054622 0.028934693599729 5
"5758" "oRG46_oRG47" 4 0.822819556942614 0.0157847885754772 5
"5451" "oRG46_oRG47" 0 0 0.165480971911621 6
"5451" "oRG46_oRG47" 1 0.633558305373908 0.0509356879016669 6
"5451" "oRG46_oRG47" 2 0.772921576732719 0.02949552501849 6
"5451" "oRG46_oRG47" 4 0.823603678113189 0.0259189822914986 6
"5452" "oRG46_oRG47" 0 0 0.188640286806001 6
"5452" "oRG46_oRG47" 1 0.65166918926211 0.0513029105248866 6
"5452" "oRG46_oRG47" 2 0.783588693491673 0.0318026283330372 6
"5452" "oRG46_oRG47" 4 0.819907483209659 0.0270398167025949 6
"5758" "oRG46_oRG47" 0 0 0.234274981461749 6
"5758" "oRG46_oRG47" 1 0.571556996854631 0.0957556894208855 6
"5758" "oRG46_oRG47" 2 0.790847540316739 0.0429346516931509 6
"5758" "oRG46_oRG47" 4 0.814114835402725 0.033081149144344 6
"4741-8C" "oRG46_oRG47" 0 0 0.0832311619314453 7
"4741-8C" "oRG46_oRG47" 1 0.747734330779222 0.0573741037001415 7
"4741-8C" "oRG46_oRG47" 2 0.856003959755299 0.0152183321588552 7
"4741-8C" "oRG46_oRG47" 4 0.862371727436524 0.0219862509579106 7
"5495-30D" "oRG46_oRG47" 0 0 0.173656005931029 7
"5495-30D" "oRG46_oRG47" 1 0.947370308009156 0.00714380199251269 7
"5495-30D" "oRG46_oRG47" 2 0.971815932896521 0.00478229523804786 7
"5495-30D" "oRG46_oRG47" 4 0.967616859853225 0.00446663339305019 7
"5665-12B" "oRG46_oRG47" 0 0 0.0334440118147404 7
"5665-12B" "oRG46_oRG47" 1 0.921486772540318 0.00517071041910865 7
"5665-12B" "oRG46_oRG47" 2 0.946615227321972 0.00482900402697724 7
"5665-12B" "oRG46_oRG47" 4 0.944792850266837 0.00383932878058488 7
"5665-14A" "oRG46_oRG47" 0 0 0.077161456465505 7
"5665-14A" "oRG46_oRG47" 1 0.70433373000444 0.0366816843603186 7
"5665-14A" "oRG46_oRG47" 2 0.81085933566169 0.0284230249138476 7
"5665-14A" "oRG46_oRG47" 4 0.83520278683029 0.0204925274235669 7
"5495-30D" "oRG46_oRG47" 0 0 0.303309559870426 8
"5495-30D" "oRG46_oRG47" 1 0.937741226346027 0.0202411536964147 8
"5495-30D" "oRG46_oRG47" 2 0.950304373986632 0.0141662483377391 8
"5495-30D" "oRG46_oRG47" 4 0.936238547036671 0.0172699386023538 8
"5692-15B" "oRG46_oRG47" 0 0 0.0933574392624414 8
"5692-15B" "oRG46_oRG47" 1 0.92124702033755 0.00830120857350082 8
"5692-15B" "oRG46_oRG47" 2 0.940397969750303 0.00518158104767848 8
