"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG50_oRG51" 0 0 NA 1
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 1
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 1
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 1
"4518-13B" "oRG52_oRG53" 0 0 NA 1
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 1
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 1
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 1
"5758" "oRG50_oRG51" 0 0 NA 1
"5758" "oRG50_oRG51" 1 0.943877420847426 0.0795533121185414 1
"5758" "oRG50_oRG51" 2 0.984819354436699 0.0521710065012942 1
"5758" "oRG50_oRG51" 4 1.00372370839159 0.0809199527664623 1
"5758" "oRG52_oRG53" 0 0 NA 1
"5758" "oRG52_oRG53" 1 0.113228677546342 0.0134293334005601 1
"5758" "oRG52_oRG53" 2 0.180459790588164 0.020369296501404 1
"5758" "oRG52_oRG53" 4 0.412091392400113 0.0598149297352738 1
"4518-13B" "oRG50_oRG51" 0 0 NA 2
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 2
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 2
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 2
"4518-13B" "oRG52_oRG53" 0 0 NA 2
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 2
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 2
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 2
"5415" "oRG50_oRG51" 0 0 NA 2
"5415" "oRG50_oRG51" 1 0.662164566716272 0.170831679517915 2
"5415" "oRG50_oRG51" 2 0.845892653925767 0.093099823591544 2
"5415" "oRG50_oRG51" 4 0.997408129908253 0.0940681977860286 2
"5415" "oRG52_oRG53" 0 0 NA 2
"5415" "oRG52_oRG53" 1 0.10665195079292 0.0313950620398595 2
"5415" "oRG52_oRG53" 2 0.0799690366843899 0.00792258446730264 2
"5415" "oRG52_oRG53" 4 0.126396053897401 0.0153348956889291 2
"5451" "oRG50_oRG51" 0 0 NA 2
"5451" "oRG50_oRG51" 1 0.518230239854245 0.0817601250178776 2
"5451" "oRG50_oRG51" 2 0.769939042676518 0.0598261776801574 2
"5451" "oRG50_oRG51" 4 0.895536692399159 0.0595220445088775 2
"5451" "oRG52_oRG53" 0 0 NA 2
"5451" "oRG52_oRG53" 1 0.0420832771660435 0.00810821614241168 2
"5451" "oRG52_oRG53" 2 0.0689783371390035 0.00948082187469137 2
"5451" "oRG52_oRG53" 4 0.156239778933287 0.017729319986535 2
"5452" "oRG50_oRG51" 0 0 NA 2
"5452" "oRG50_oRG51" 1 0.823813965559953 0.104477247078161 2
"5452" "oRG50_oRG51" 2 0.892954652674573 0.0637213882081574 2
"5452" "oRG50_oRG51" 4 0.922266847371747 0.0663517833771099 2
"5452" "oRG52_oRG53" 0 0 NA 2
"5452" "oRG52_oRG53" 1 0.064519522602558 0.0117986327825575 2
"5452" "oRG52_oRG53" 2 0.149234966689946 0.0165861462347439 2
"5452" "oRG52_oRG53" 4 0.360521614400942 0.0282125304126242 2
"4377-12B" "oRG50_oRG51" 0 0 NA 3
"4377-12B" "oRG50_oRG51" 1 0.948136516708315 0.0960103615196483 3
"4377-12B" "oRG50_oRG51" 2 0.960262895458915 0.131338873797316 3
"4377-12B" "oRG50_oRG51" 4 0.957361122219694 0.201971715426077 3
"4377-12B" "oRG52_oRG53" 0 0 NA 3
"4377-12B" "oRG52_oRG53" 1 0.0734649431593451 0.0081211267329628 3
"4377-12B" "oRG52_oRG53" 2 0.228244286101367 0.0474297571012329 3
"4377-12B" "oRG52_oRG53" 4 0.429683183029269 0.124121566468126 3
"5415" "oRG50_oRG51" 0 0 NA 3
"5415" "oRG50_oRG51" 1 0.588180728714564 0.123325172091544 3
"5415" "oRG50_oRG51" 2 0.776727874986199 0.0634735500339585 3
"5415" "oRG50_oRG51" 4 0.866264636213594 0.176168121720582 3
"5415" "oRG52_oRG53" 0 0 NA 3
"5415" "oRG52_oRG53" 1 0.0449419770093644 0.00974315001789252 3
"5415" "oRG52_oRG53" 2 0.0564622403867716 0.00732992999465033 3
"5415" "oRG52_oRG53" 4 0.135862893301243 0.0416632449208263 3
"5416" "oRG800_oRG801" 0 0 NA 3
"5416" "oRG800_oRG801" 1 0.0445439779824124 0.00799870968886938 3
"5416" "oRG800_oRG801" 2 0.531780865224635 0.0621886899712591 3
"5416" "oRG800_oRG801" 4 0.828858976010426 0.079414904588822 3
"5416" "oRG800_oRG801" 6 0.916932531100686 0.077021908781914 3
"5416" "oRG235_oRG236" 0 0 NA 3
"5416" "oRG235_oRG236" 1 0.00904754878379885 0.00148535112498738 3
"5416" "oRG235_oRG236" 2 0.0248798234666093 0.00474834684967912 3
"5416" "oRG235_oRG236" 4 0.31957659217751 0.0205483725628783 3
"5416" "oRG235_oRG236" 6 0.581473416245851 0.0435622734196677 3
"5417" "oRG800_oRG801" 0 0 NA 3
"5417" "oRG800_oRG801" 1 0.0134050985419162 0.00347687212246893 3
