"sample" "reads_mapped" "wo_5primeS" "unique"
"LSY4518-13B_0h" 25198982 24628177 19875269
"LSY4518-13B_1h" 24800897 24274487 19745549
"LSY4518-13B_2h" 15741978 15350920 12716346
"LSY4518-13B_4h" 8704637 8492170 6951526
"LSY5415_0h" 5300107 5158335 4218291
"LSY5415_1h" 7195400 7007049 5776618
"LSY5415_2h" 10835834 10563590 8775173
"LSY5415_4h" 7116440 6932402 5826994
"LSY5934_0h" 10482111 10212765 8039370
"LSY5934_1h" 8758986 8532960 6781227
"LSY5934_2h" 7073348 6892873 5538807
"LSY5934_4h" 7229938 7049982 5646143
"LSY5935_0h" 8743187 8529357 6992507
"LSY5935_1h" 11161517 10893016 8864834
"LSY5935_2h" 10831511 10570932 8656741
"LSY5935_4h" 9576151 9340354 7690952
