"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 1
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 1
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 1
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 1
"4518-13B" "oRG46_oRG47" 0 0 0.114741725395565 2
"4518-13B" "oRG46_oRG47" 1 0.914063112446373 0.0115781192367194 2
"4518-13B" "oRG46_oRG47" 2 0.923729915162034 0.010102854659848 2
"4518-13B" "oRG46_oRG47" 4 0.924659338941289 0.00753514614694452 2
"5415" "oRG46_oRG47" 0 0 0.133443231345338 2
"5415" "oRG46_oRG47" 1 0.40760233856021 0.0859905308247493 2
"5415" "oRG46_oRG47" 2 0.739032284937298 0.0353006785571693 2
"5415" "oRG46_oRG47" 4 0.812128938794774 0.0265273040655575 2
"5415" "oRG46_oRG47" 0 0 0.211840558518884 3
"5415" "oRG46_oRG47" 1 0.615518159185695 0.0700060654970399 3
"5415" "oRG46_oRG47" 2 0.839864288924606 0.0254470484605004 3
"5415" "oRG46_oRG47" 4 0.876774910494061 0.0328080956514219 3
"5495-30D" "oRG46_oRG47" 0 0 0.173656005931029 9
"5495-30D" "oRG46_oRG47" 1 0.947370308009156 0.00714380199251269 9
"5495-30D" "oRG46_oRG47" 2 0.971815932896521 0.00478229523804786 9
"5495-30D" "oRG46_oRG47" 4 0.967616859853225 0.00446663339305019 9
"5495-30D" "oRG46_oRG47" 0 0 0.303309559870426 10
"5495-30D" "oRG46_oRG47" 1 0.937741226346027 0.0202411536964147 10
"5495-30D" "oRG46_oRG47" 2 0.950304373986632 0.0141662483377391 10
"5495-30D" "oRG46_oRG47" 4 0.936238547036671 0.0172699386023538 10
"5692-15B" "oRG46_oRG47" 0 0 0.0933574392624414 10
"5692-15B" "oRG46_oRG47" 1 0.92124702033755 0.00830120857350082 10
"5692-15B" "oRG46_oRG47" 2 0.940397969750303 0.00518158104767848 10
"5692-15B" "oRG46_oRG47" 4 0.925692975539088 0.010765692553518 10
"4518-13B" "oRG46_oRG47" 0 0 0.27552973344568 11
"4518-13B" "oRG46_oRG47" 1 0.955475214102687 0.00884172744020235 11
"4518-13B" "oRG46_oRG47" 2 0.960485202300532 0.00853217904793065 11
"4518-13B" "oRG46_oRG47" 4 0.946329833692149 0.0109537338121022 11
"5415" "oRG46_oRG47" 0 0 0.119937199399585 11
"5415" "oRG46_oRG47" 1 0.60777128979661 0.0424909003792591 11
"5415" "oRG46_oRG47" 2 0.8451144944783 0.0152031265018655 11
"5415" "oRG46_oRG47" 4 0.88826708046945 0.0100157138159254 11
"4518-13B" "oRG46_oRG47" 0 0 0.531459795935959 13
"4518-13B" "oRG46_oRG47" 1 0.906735443492476 0.0374722631387923 13
"4518-13B" "oRG46_oRG47" 2 0.921091057628051 0.0316290747425064 13
"4518-13B" "oRG46_oRG47" 4 0.910804488276682 0.0346708129078576 13
"5415" "oRG46_oRG47" 0 0 0.117315865347204 13
"5415" "oRG46_oRG47" 1 0.502078891870423 0.0684061883902653 13
"5415" "oRG46_oRG47" 2 0.806749784028301 0.022855166877412 13
"5415" "oRG46_oRG47" 4 0.857515247245831 0.0162752207100387 13
"5495-30D" "oRG46_oRG47" 0 0 0.147346610946834 13
"5495-30D" "oRG46_oRG47" 1 0.925504234105405 0.00959696449878445 13
"5495-30D" "oRG46_oRG47" 2 0.951523541335642 0.00540475230038204 13
"5495-30D" "oRG46_oRG47" 4 0.947922527490143 0.00725345100918657 13
"5692-15B" "oRG46_oRG47" 0 0 0.0640029310304105 13
"5692-15B" "oRG46_oRG47" 1 0.890462806049738 0.0122159274789952 13
"5692-15B" "oRG46_oRG47" 2 0.931632558317095 0.00738859315960536 13
"5692-15B" "oRG46_oRG47" 4 0.922111776190553 0.00973880636644086 13
"4518-13B" "oRG46_oRG47" 0 0 0.220405554217718 14
"4518-13B" "oRG46_oRG47" 1 0.920922647678431 0.0136993058800947 14
"4518-13B" "oRG46_oRG47" 2 0.927061485393256 0.0125826198040088 14
"4518-13B" "oRG46_oRG47" 4 0.926715458042049 0.0117620081104337 14
"5415" "oRG46_oRG47" 0 0 0.167013700777374 14
"5415" "oRG46_oRG47" 1 0.466367356908457 0.069812697552457 14
"5415" "oRG46_oRG47" 2 0.732103205411885 0.0394473746849772 14
"5415" "oRG46_oRG47" 4 0.825726090312897 0.0235515447034371 14
"5495-30D" "oRG46_oRG47" 0 0 0.0655102861663608 14
"5495-30D" "oRG46_oRG47" 1 0.923217961955256 0.00513345417577538 14
"5495-30D" "oRG46_oRG47" 2 0.958736120170654 0.0035305344075653 14
"5495-30D" "oRG46_oRG47" 4 0.954201189794358 0.00657006657881988 14
"5692-15B" "oRG46_oRG47" 0 0 0.1059348804749 14
"5692-15B" "oRG46_oRG47" 1 0.904069122963802 0.00843950920261238 14
"5692-15B" "oRG46_oRG47" 2 0.940227425400266 0.0109085407867077 14
"5692-15B" "oRG46_oRG47" 4 0.930615415958869 0.00844643063768682 14
"4518-13B" "oRG46_oRG47" 0 0 0.149325232158407 15
"4518-13B" "oRG46_oRG47" 1 0.870638870886662 0.0176035509566474 15
"4518-13B" "oRG46_oRG47" 2 0.871895485842598 0.0152593609726541 15
"4518-13B" "oRG46_oRG47" 4 0.877819692299566 0.0150786199591858 15
"5415" "oRG46_oRG47" 0 0 0.138845358240999 15
"5415" "oRG46_oRG47" 1 0.481785473167132 0.0671374524649531 15
"5415" "oRG46_oRG47" 2 0.706908636257992 0.0326450503368492 15
"5415" "oRG46_oRG47" 4 0.784006569528262 0.0258076912877361 15
"5495-30D" "oRG46_oRG47" 0 0 0.15761713651996 15
"5495-30D" "oRG46_oRG47" 1 0.860402669299589 0.0212136178381074 15
"5495-30D" "oRG46_oRG47" 2 0.906035417459981 0.0154403529170365 15
"5495-30D" "oRG46_oRG47" 4 0.927326912752848 0.0127541764170493 15
"5692-15B" "oRG46_oRG47" 0 0 0.0937171100333047 15
"5692-15B" "oRG46_oRG47" 1 0.832845621499605 0.0198761351816607 15
"5692-15B" "oRG46_oRG47" 2 0.889092563070911 0.0133626305612263 15
"5692-15B" "oRG46_oRG47" 4 0.90329870905333 0.0106007446640387 15
"4518-13B" "oRG46_oRG47" 0 0 0.213695443943031 16
"4518-13B" "oRG46_oRG47" 1 0.867634633205951 0.0383897102550023 16
"4518-13B" "oRG46_oRG47" 2 0.872461151831451 0.0202924568747055 16
"4518-13B" "oRG46_oRG47" 4 0.88610690505271 0.0232439360399473 16
"5415" "oRG46_oRG47" 0 0 0.271762162890036 16
"5415" "oRG46_oRG47" 1 0.50563965416733 0.137756228224802 16
"5415" "oRG46_oRG47" 2 0.778606555647113 0.0458550410276852 16
"5415" "oRG46_oRG47" 4 0.821136206189022 0.0385988515229372 16
"5415" "oRG46_oRG47" 0 0 0.275785808592546 17
"5415" "oRG46_oRG47" 1 0.597933941238213 0.0913853351288067 17
"5415" "oRG46_oRG47" 2 0.780387795078543 0.047450800140165 17
"5415" "oRG46_oRG47" 4 0.834171688796218 0.0369801199690679 17
"5415" "oRG46_oRG47" 0 0 0.153853469076635 18
"5415" "oRG46_oRG47" 1 0.502935870847118 0.0621778024484783 18
"5415" "oRG46_oRG47" 2 0.656553840581545 0.0552945799033025 18
"5415" "oRG46_oRG47" 4 0.771643074658841 0.0468314109520914 18
"5415" "oRG46_oRG47" 0 0 0.179310625583599 19
"5415" "oRG46_oRG47" 1 0.540250883911402 0.0753114863961534 19
"5415" "oRG46_oRG47" 2 0.687119210346891 0.0536450919672184 19
"5415" "oRG46_oRG47" 4 0.764413722927973 0.0404988326396427 19
"4518-13B" "oRG46_oRG47" 0 0 0.170188353761309 20
"4518-13B" "oRG46_oRG47" 1 0.822195229341876 0.0322705209497864 20
"4518-13B" "oRG46_oRG47" 2 0.830958963109031 0.0219227900989616 20
