"strain" "primers" "time" "mean" "sd" "experiment_ID"
"4518-13B" "oRG50_oRG51" 0 0 NA 1
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 1
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 1
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 1
"4518-13B" "oRG52_oRG53" 0 0 NA 1
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 1
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 1
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 1
"4518-13B" "oRG50_oRG51" 0 0 NA 2
"4518-13B" "oRG50_oRG51" 1 0.929191461787274 0.0916710758369319 2
"4518-13B" "oRG50_oRG51" 2 0.97522079286838 0.082372989505804 2
"4518-13B" "oRG50_oRG51" 4 0.944483448489041 0.08080799638695 2
"4518-13B" "oRG52_oRG53" 0 0 NA 2
"4518-13B" "oRG52_oRG53" 1 0.0620457557999642 0.0108303362166375 2
"4518-13B" "oRG52_oRG53" 2 0.238795226910505 0.0500427666479781 2
"4518-13B" "oRG52_oRG53" 4 0.372356504825406 0.0707496290210531 2
"5415" "oRG50_oRG51" 0 0 NA 2
"5415" "oRG50_oRG51" 1 0.662164566716272 0.170831679517915 2
"5415" "oRG50_oRG51" 2 0.845892653925767 0.093099823591544 2
"5415" "oRG50_oRG51" 4 0.997408129908253 0.0940681977860286 2
"5415" "oRG52_oRG53" 0 0 NA 2
"5415" "oRG52_oRG53" 1 0.10665195079292 0.0313950620398595 2
"5415" "oRG52_oRG53" 2 0.0799690366843899 0.00792258446730264 2
"5415" "oRG52_oRG53" 4 0.126396053897401 0.0153348956889291 2
"5415" "oRG50_oRG51" 0 0 NA 3
"5415" "oRG50_oRG51" 1 0.588180728714564 0.123325172091544 3
"5415" "oRG50_oRG51" 2 0.776727874986199 0.0634735500339585 3
"5415" "oRG50_oRG51" 4 0.866264636213594 0.176168121720582 3
"5415" "oRG52_oRG53" 0 0 NA 3
"5415" "oRG52_oRG53" 1 0.0449419770093644 0.00974315001789252 3
"5415" "oRG52_oRG53" 2 0.0564622403867716 0.00732992999465033 3
"5415" "oRG52_oRG53" 4 0.135862893301243 0.0416632449208263 3
"5495-30D" "oRG50_oRG51" 0 0 NA 9
"5495-30D" "oRG50_oRG51" 1 0.292562337839075 0.0166335543736446 9
"5495-30D" "oRG50_oRG51" 2 0.691055692225773 0.0908280791252227 9
"5495-30D" "oRG50_oRG51" 4 0.895527972222316 0.054842951737455 9
"5495-30D" "oRG52_oRG53" 0 0 NA 9
"5495-30D" "oRG52_oRG53" 1 0.00942328032373421 0.00144084832279252 9
"5495-30D" "oRG52_oRG53" 2 0.0346316244649757 0.00706967226758373 9
"5495-30D" "oRG52_oRG53" 4 0.14395855011862 0.0225426840259928 9
"5495-30D" "oRG50_oRG51" 0 0 NA 10
"5495-30D" "oRG50_oRG51" 1 0.351246348043647 0.045364558301064 10
"5495-30D" "oRG50_oRG51" 2 0.784966237746047 0.0643745869779146 10
"5495-30D" "oRG50_oRG51" 4 0.932949844354014 0.0765865372334778 10
"5495-30D" "oRG52_oRG53" 0 0 NA 10
"5495-30D" "oRG52_oRG53" 1 0.0320455400199229 0.00500821146061911 10
"5495-30D" "oRG52_oRG53" 2 0.0575561053848814 0.0101131920418647 10
"5495-30D" "oRG52_oRG53" 4 0.139224932084176 0.0358156673143997 10
"5692-15B" "oRG50_oRG51" 0 0 NA 10
"5692-15B" "oRG50_oRG51" 1 0.23527086810768 0.0254008980675926 10
"5692-15B" "oRG50_oRG51" 2 0.598634134426595 0.0563984365170872 10
"5692-15B" "oRG50_oRG51" 4 0.879392114873419 0.0970152738725291 10
"5692-15B" "oRG52_oRG53" 0 0 NA 10
"5692-15B" "oRG52_oRG53" 1 0.0298277677076475 0.00369129111385711 10
"5692-15B" "oRG52_oRG53" 2 0.0312414935806042 0.00331836357870975 10
"5692-15B" "oRG52_oRG53" 4 0.0744259666384668 0.0148291024446175 10
"4518-13B" "oRG50_oRG51" 0 0 NA 11
"4518-13B" "oRG50_oRG51" 1 0.887493440593048 0.0573473820320021 11
"4518-13B" "oRG50_oRG51" 2 0.947875340551744 0.0591400555264861 11
"4518-13B" "oRG50_oRG51" 4 0.99695190288766 0.0568936845643102 11
"4518-13B" "oRG52_oRG53" 0 0 NA 11
"4518-13B" "oRG52_oRG53" 1 0.0558859817576871 0.00644177032316335 11
"4518-13B" "oRG52_oRG53" 2 0.242921323211768 0.0242154985303645 11
"4518-13B" "oRG52_oRG53" 4 0.48524898809364 0.0259346329647022 11
"5415" "oRG50_oRG51" 0 0 NA 11
"5415" "oRG50_oRG51" 1 0.513300793364081 0.0484096673574672 11
"5415" "oRG50_oRG51" 2 0.80579820233853 0.0438933148993575 11
"5415" "oRG50_oRG51" 4 0.946597786715432 0.0393666808925228 11
"5415" "oRG52_oRG53" 0 0 NA 11
"5415" "oRG52_oRG53" 1 0.0353015275686764 0.00611483683367297 11
"5415" "oRG52_oRG53" 2 0.0377076667425577 0.00526651115807116 11
"5415" "oRG52_oRG53" 4 0.114900682648737 0.0072522293614208 11
"4518-13B" "oRG50_oRG51" 0 0 NA 13
