"strain" "time" "mean" "sd" "n"
"4518-13B" 0 0 0 16
"4518-13B" 1 0.88937321218748 0.0411749899307863 16
"4518-13B" 2 0.895630049005022 0.0395253214192901 16
"4518-13B" 4 0.901631316088057 0.0292409112216598 16
"5415" 0 0 0 16
"5415" 1 0.544341477616948 0.0838937736850181 16
"5415" 2 0.76013473115111 0.0689836090664135 16
"5415" 4 0.828371641916275 0.0415398770939954 16
"5495-30D" 0 0 0 5
"5495-30D" 1 0.918847279943087 0.0340944817894909 5
"5495-30D" 2 0.947683077169886 0.0248027841502793 5
"5495-30D" 4 0.946661207385449 0.0156527028909513 5
"5692-15B" 0 0 0 4
"5692-15B" 1 0.887156142712674 0.0383353778080997 4
"5692-15B" 2 0.925337629134644 0.0245074875610689 4
"5692-15B" 4 0.92042971918546 0.0119408418201198 4
