"strain" "primers" "time" "mean" "sd" "n"
"4518-13B" "oRG50_oRG51" 0 0 0 17
"4518-13B" "oRG50_oRG51" 1 0.947550237190599 0.0800740782178873 17
"4518-13B" "oRG50_oRG51" 2 0.958678405269457 0.0427911999626613 17
"4518-13B" "oRG50_oRG51" 4 0.952381092903736 0.0544980910715453 17
"4518-13B" "oRG52_oRG53" 0 0 0 17
"4518-13B" "oRG52_oRG53" 1 0.0709139085964043 0.0200572442729385 17
"4518-13B" "oRG52_oRG53" 2 0.205513902326613 0.0597863026184561 17
"4518-13B" "oRG52_oRG53" 4 0.358195307888112 0.0882042178240137 17
"5415" "oRG50_oRG51" 0 0 0 16
"5415" "oRG50_oRG51" 1 0.569224852649724 0.07070928705274 16
"5415" "oRG50_oRG51" 2 0.804018250980394 0.0584704790769689 16
"5415" "oRG50_oRG51" 4 0.936670392159544 0.0572911427465954 16
"5415" "oRG52_oRG53" 0 0 0 16
"5415" "oRG52_oRG53" 1 0.0853815791073287 0.0418205720969156 16
"5415" "oRG52_oRG53" 2 0.0724271949996688 0.0239521814836901 16
"5415" "oRG52_oRG53" 4 0.125578287242894 0.0220719060140682 16
"5495-30D" "oRG50_oRG51" 0 0 0 5
"5495-30D" "oRG50_oRG51" 1 0.29515575170617 0.0380108428111749 5
"5495-30D" "oRG50_oRG51" 2 0.730437401311298 0.0342882534696673 5
"5495-30D" "oRG50_oRG51" 4 0.880294788234354 0.0341134596900354 5
"5495-30D" "oRG52_oRG53" 0 0 0 5
"5495-30D" "oRG52_oRG53" 1 0.0195739306692555 0.00859165714277734 5
"5495-30D" "oRG52_oRG53" 2 0.0483656356607861 0.0088218358582542 5
"5495-30D" "oRG52_oRG53" 4 0.134046229576421 0.00781528421466872 5
"5692-15B" "oRG50_oRG51" 0 0 0 4
"5692-15B" "oRG50_oRG51" 1 0.182458456540917 0.0353252164270524 4
"5692-15B" "oRG50_oRG51" 2 0.531712374096562 0.0450865633940409 4
"5692-15B" "oRG50_oRG51" 4 0.78447504104404 0.0634451297987753 4
"5692-15B" "oRG52_oRG53" 0 0 0 4
"5692-15B" "oRG52_oRG53" 1 0.0195526911180628 0.00734899240402676 4
"5692-15B" "oRG52_oRG53" 2 0.0266219419813091 0.00427619944171237 4
"5692-15B" "oRG52_oRG53" 4 0.0712048556117565 0.00345808025236233 4
